id2,x2,y2
0,279.190589,242.200477
1,10.023654,19.763184
2,16.581284,73.171528
3,60.837313,24.798326
4,43.371904,125.370998
5,6.215513,153.875039
6,45.099560,177.523812
7,27.487544,230.533845
8,38.553489,297.173077
9,30.092648,359.196413
10,54.571347,396.122785
11,9.447201,437.077198
12,55.783486,477.945266
13,26.789901,506.978419
14,136.980151,498.657328
15,123.247456,370.519976
16,83.215589,260.681746
17,128.056719,202.648280
18,145.850965,157.863674
19,111.718528,115.667912
20,117.605066,70.062522
21,110.806610,33.194763
22,160.445763,14.575314
23,157.388036,68.415774
24,179.894429,112.572922
25,204.659704,121.620224
26,179.803498,283.554140
27,161.893203,326.049038
28,175.319526,412.606764
29,181.939333,457.310243
30,242.498246,501.133593
31,264.312748,447.165953
32,207.309014,370.562333
33,258.009045,393.629094
34,301.186370,441.278197
35,276.285928,386.829627
36,273.657263,330.163322
37,241.528471,235.868598
38,266.920664,148.805343
39,206.480902,21.446844
40,243.158473,7.483695
41,263.797697,68.047810
42,295.369680,75.396647
43,318.388703,88.452383
44,292.267661,14.655118
45,333.023429,16.677529
46,365.076154,10.107017
47,414.119348,22.225094
48,496.968168,16.395881
49,355.230943,73.339584
50,434.690443,68.618764
51,498.520549,102.233336
52,423.199573,118.332261
53,465.927469,154.745959
54,484.223684,222.973704
55,384.107338,131.899474
56,342.784008,161.054147
57,412.832408,170.190277
58,285.772668,237.711026
59,352.357797,221.723637
60,413.342544,207.266010
61,411.003941,239.740734
62,310.846946,256.142942
63,355.054520,284.971904
64,462.308731,274.867647
65,483.231133,331.305333
66,414.593550,322.284181
67,342.037562,329.803689
68,320.213923,389.527480
69,382.342502,373.500661
70,452.890991,385.868097
71,392.577653,414.468405
72,336.208943,466.139728
73,423.489535,463.081948
74,481.770960,422.209982
75,398.578771,500.521811
76,360.341442,507.927878
77,507.120781,453.255695
78,489.672170,507.265234
